id_item,id_pedido,id_livro,quantidade,preco_unitario
180,19324,20208,2,181.7
181,14901,26319,2,113.87
182,9872,3113,5,85.74
183,17561,23278,2,77.94
184,22975,2534,5,131.03
185,4077,16448,2,140.69
186,28167,19577,2,84.43
187,8692,5769,3,129.04
188,980,6401,1,100.58
189,25009,27618,2,44.06
190,2445,10436,1,196.42
191,243,7206,5,182.75
192,3486,4090,4,129.3
193,1287,2127,4,183.5
194,26070,8689,2,163.26
195,25787,29359,5,37.02
196,29456,27700,3,128.44
197,25324,4506,3,148.18
198,29507,15766,4,121.92
199,11555,13729,2,32.43
200,29133,22230,4,96.61
201,13111,17057,3,20.34
202,20294,17966,1,22.16
203,7695,18915,2,42.68
204,21272,14179,3,53.09
205,20044,3919,1,97.7
206,10506,29722,4,67.3
207,6744,1201,1,178.37
208,18116,8812,3,77.51
209,12461,11786,5,171.29
210,12255,14798,3,36.62
211,1381,15982,2,103.53
212,7822,2047,3,93.68
213,26420,10158,4,79.31
214,7893,27966,2,137.1
215,5332,5794,2,84.06
216,12474,624,3,145.51
217,134,25342,1,118.45
218,19234,20232,2,193.35
219,5969,13054,5,126.02
220,24965,20116,5,125.91
221,14490,12262,4,26.77
222,25114,1111,4,54.83
223,5849,28494,2,106.65
224,14566,21180,3,197.59
225,17701,14848,5,90.95
226,8750,9875,3,139.98
227,4739,27900,4,179.48
228,21165,20364,3,187.02
229,25136,28122,2,126.19
230,6229,7326,5,89.41
231,18286,27250,4,32.91
232,713,15131,4,145.5
233,14068,23053,5,56.88
234,17805,6400,3,104.58
235,3845,25302,2,107.25
236,13060,20059,5,110.27
237,27619,19558,3,149.11
238,16053,13005,3,85.57
239,9340,8745,4,186.1
240,13542,21492,4,53.39
241,20349,1360,3,186.37
242,6580,27185,5,188.96
243,4699,24921,5,153.2
244,13532,19332,5,109.09
245,1097,1660,1,178.6
246,22757,29325,5,132.01
247,1257,16730,3,117.21
248,10215,410,4,184.67
249,12087,25033,1,54.52
250,15249,26525,2,70.93
251,28878,22808,1,145.16
252,18606,22787,5,57.22
253,17807,20780,1,168.11
254,25403,27741,5,184.27
255,4501,10368,1,142.93
256,10284,2390,4,68.27
257,15267,7523,4,187.96
258,28703,20901,3,78.1
259,4653,2980,4,160.89
260,9567,17896,4,30.45
261,16315,1274,1,174.55
262,16274,16227,2,77.39
263,3537,4508,5,61.08
264,29665,8610,5,66.59
265,23680,12606,2,179.76
266,12577,3886,5,45.44
267,11403,29935,4,75.69
268,23962,26791,4,93.99
269,3224,11215,2,98.86
270,26400,1198,4,130.38
271,13572,17024,5,54.91
272,9637,11630,4,111.33
273,27788,29486,3,172.53
274,21228,8346,4,189.73
275,2406,18986,5,136.37
276,23511,15321,3,199.93
277,24863,1377,5,79.36
278,1916,16969,5,126.92
279,19073,24142,3,27.92
280,8122,12332,2,111.16
281,11272,5170,5,121.79
282,28889,12171,1,151.64
283,24872,3201,2,89.7
284,15508,6523,5,105.3
285,5401,990,1,160.46
286,16420,6135,1,31.06
287,24303,9137,2,61.61
288,808,7815,3,168.65
289,21695,18536,1,163.21
290,28429,21309,2,167.79
291,25488,10505,4,150.78
292,6247,21211,1,98.19
293,28379,16369,4,188.56
294,19061,22219,4,173.42
295,27443,13447,2,170.84
296,7454,1605,5,81.24
297,19030,22330,1,144.02
298,16683,1371,3,164.79
299,22002,50,1,160.72
300,13724,16410,2,158.31
301,5458,13422,1,199.12
302,21775,9079,1,92.51
303,23768,24658,3,25.11
304,5117,19257,1,127.03
305,17754,10095,4,153.26
306,10213,17373,1,99.73
307,1153,27192,4,21.06
308,6790,26851,3,36.28
309,8895,29900,1,81.36
310,643,25267,4,83.43
311,19337,5643,2,27.88
312,9402,9846,3,180.64
313,27556,25352,5,166.28
314,9569,26667,1,142.51
315,19488,27758,5,60.15
316,508,25132,2,45.07
317,3627,23849,5,102.66
318,10833,4920,5,108.73
319,2150,3788,1,87.22
320,15129,8260,4,33.41
321,3936,18237,2,142.42
322,5848,1009,5,57.57
323,22953,20269,5,112.55
324,3398,3964,5,105.91
325,20203,29413,5,150.23
326,5663,471,5,181.14
327,15060,18644,3,138.21
328,16054,24340,1,61.79
329,12953,6993,5,155.05
330,14781,25681,2,194.43
331,13290,1090,3,57.97
332,7994,10287,5,78.88
333,21474,23317,3,63.2
334,23029,20175,3,157.83
335,14994,10463,5,141.61
336,4089,132,4,185.91
337,29125,20953,2,65.49
338,9572,16649,2,22.81
339,27543,9618,1,108.53
340,20909,1942,1,81.34
341,9767,13702,1,99.75
342,11395,15101,5,149.6
343,20401,12137,3,181.1
344,7045,16886,4,191.47
345,10535,17930,3,153.12
346,20072,2509,3,69.91
347,12923,26893,3,199.9
348,1991,835,5,191.34
349,23344,10361,2,101.92
350,23193,2950,5,147.46
351,8863,3028,4,118.94
352,26879,9973,2,52.66
353,2530,10316,3,176.8
354,19164,4549,2,153.13
355,4811,9602,1,43.42
356,11469,10312,2,185.9
357,10418,2189,1,108.48
358,8658,8486,3,55.84
359,26495,28943,4,56.56
360,6285,2247,5,23.89
361,19742,15319,3,69.16
362,480,2749,2,184.64
363,24771,18847,4,46.86
364,27116,24256,3,154.69
365,6620,14269,5,93.03
366,18730,5785,3,66.28
367,19622,11118,4,93.48
368,23991,14730,5,110.65
369,6656,29670,1,31.01
370,7167,1749,5,81.29
371,5298,13328,3,123.12
372,19020,14508,3,66.4
373,27329,28404,4,60.07
374,446,19734,2,65.84
375,2616,10608,5,157.63
376,5756,13545,5,90.26
377,8812,15172,5,66.11
378,26342,23631,4,60.04
379,27785,3914,2,39.84
380,16508,26323,2,48.91
381,15046,11665,3,82.99
382,22281,23909,2,57.86
383,3461,25966,1,69.91
384,19934,19720,3,197.74
385,22586,27595,2,130.98
386,14799,10595,5,95.54
387,11717,8099,4,105.33
388,29019,24739,3,148.14
389,2084,23385,1,68.96
390,4739,11040,3,91.88
391,6577,14847,3,179.58
392,6412,1859,2,106.13
393,2555,8973,5,144.6
394,18480,17728,4,85.73
395,7898,2827,4,87.27
396,23258,5078,2,192.25
397,25277,4556,3,199.64
398,22345,3809,5,163.23
399,16813,17392,5,62.59
400,25407,13493,3,130.08
401,29101,12873,2,61.56
402,24971,10580,4,112.99
403,9758,8807,1,163.71
404,15190,15493,3,157.1
405,23110,5394,5,168.52
406,14546,23444,1,33.41
407,15408,27417,2,53.23
408,2510,15539,3,31.44
409,20481,24822,1,147.64
410,7282,19170,5,71.45
411,9642,16215,5,102.35
412,1626,24121,5,37.85
413,13185,23480,4,76.21
414,263,27979,5,151.41
415,18247,2136,3,138.17
416,11222,10087,3,178.49
417,5579,7453,1,155.94
418,29371,29925,4,59.3
419,4916,29577,5,67.86
420,26904,12796,2,25.27
421,10255,694,4,149.01
422,7214,9941,3,157.5
423,23153,8421,5,99.34
424,17308,28294,1,159.06
425,3793,21484,3,184.27
426,24572,3136,1,107.48
427,13241,17735,1,189.0
428,1522,24477,1,171.57
429,1346,27127,3,139.26
430,19230,24376,3,20.21
431,20339,12209,5,111.95
432,24750,20739,1,141.32
433,29388,9284,5,83.38
434,27566,29732,2,115.54
435,27171,24883,2,106.63
436,26471,10300,4,100.63
437,685,12334,2,161.78
438,22230,23390,3,29.69
439,8096,23926,1,132.89
440,13565,8811,1,91.17
441,1997,10083,3,71.18
442,25421,7229,3,176.53
443,17213,2566,2,140.42
444,28883,22401,4,196.44
445,6653,11550,5,82.43
446,28961,16609,2,178.27
447,7090,3637,1,24.09
448,24322,24900,1,43.39
449,4715,28828,2,80.46
450,29165,23372,1,69.16
451,20254,17041,5,103.23
452,16319,29468,1,50.74
453,19997,18984,5,195.33
454,13771,20141,1,153.16
455,21488,8771,5,157.31
456,16894,3367,3,144.69
457,25316,21371,5,40.01
458,23024,7214,3,129.68
459,26455,19195,2,134.54
460,6647,19536,4,29.01
461,16131,23329,3,71.02
462,24609,6531,5,68.16
463,3389,4307,1,93.3
464,27657,15536,2,123.79
465,2692,22288,4,129.19
466,28059,4034,5,135.57
467,25506,20901,4,156.3
468,12514,28127,5,40.63
469,24321,5099,1,87.88
470,18692,5516,2,26.54
471,8916,8776,4,78.69
472,25280,23416,5,84.4
473,25477,2806,1,21.41
474,1335,3966,1,49.82
475,18853,5767,2,170.58
476,7113,9591,5,93.85
477,29358,4898,4,153.49
478,28298,2043,4,95.92
479,2343,19225,3,79.08
480,7593,23302,5,176.22
481,24801,1612,5,163.49
482,4128,2469,4,42.01
483,28291,9563,4,148.77
484,5313,14775,2,44.01
485,18931,15846,3,193.5
486,19682,5933,5,89.72
487,17024,8726,2,99.14
488,9540,27883,3,139.3
489,13800,25514,2,163.18
490,11764,714,4,173.0
491,4194,17204,4,196.34
492,19329,14434,4,120.71
493,8391,298,4,181.57
494,17181,5623,4,39.9
495,15247,19910,2,32.16
496,23457,12602,1,55.9
497,701,24942,5,182.9
498,19024,9632,4,102.52
499,587,11416,1,76.92
500,18821,6615,4,113.7
501,3314,29413,5,73.22
502,22267,24178,1,198.24
503,10824,19554,4,52.61
504,27447,6833,2,125.35
505,8346,10968,4,167.89
506,13421,23460,5,100.15
507,19032,14573,5,181.41
508,7663,12952,3,123.05
509,4978,25582,2,169.74
510,23645,10020,1,117.45
511,1162,18672,2,92.23
512,6005,28337,4,98.78
513,9685,18183,1,106.43
514,11868,3729,1,178.76
515,10995,15979,5,130.01
516,20547,6662,5,66.66
517,2021,17232,4,58.1
518,1793,4316,2,134.72
519,22381,17852,2,185.87
520,23898,23591,2,188.55
521,18172,24787,3,172.93
522,5237,14870,5,27.47
523,25132,4941,3,99.09
524,13339,20845,5,132.39
525,25470,16868,5,100.22
526,1361,16945,1,100.05
527,25249,4525,5,175.48
528,13048,29748,3,176.73
529,7145,7870,4,147.05
530,21896,3124,3,32.79
531,25296,7525,5,130.37
532,16757,10021,3,115.04
533,29589,28839,5,140.6
534,23564,12900,2,149.03
535,766,17774,2,170.83
536,1829,13293,5,88.52
537,17199,23433,3,51.39
538,5154,18607,5,74.65
539,2343,3132,1,163.91
540,9757,27944,1,161.99
541,10576,27957,1,39.92
542,3968,28381,1,174.85
543,11877,27921,4,179.17
544,5030,12588,2,175.6
545,29778,5443,2,173.16
546,5088,3275,4,43.33
547,12148,2244,5,183.64
548,16546,9426,3,167.72
549,1130,3394,2,154.28
550,4943,23233,3,59.12
551,25684,10343,3,20.96
552,28837,25502,5,183.25
553,14543,5138,5,90.08
554,14978,20319,5,181.34
555,6753,25393,2,191.88
556,23866,29820,4,111.88
557,9841,10563,4,108.37
558,3039,22992,3,62.88
559,12145,15788,4,102.82
560,23046,6956,1,193.77
561,5660,4766,5,180.91
562,29322,6248,2,145.88
563,8802,5219,2,39.75
564,1640,18004,1,97.85
565,6290,29774,4,181.54
566,15240,18280,1,147.24
567,27960,24707,1,35.25
568,6973,23734,2,151.47
569,14442,6841,2,142.08
570,9225,16128,1,103.12
571,2120,21263,4,54.9
572,20337,3625,2,64.12
573,22265,14125,2,23.16
574,27758,25353,5,100.9
575,11617,16074,3,130.1
576,7647,9828,2,129.72
577,18619,5838,3,109.26
578,7383,4192,5,55.75
579,19301,9549,3,142.93
580,22762,2006,5,68.82
581,24663,1405,2,149.83
582,1443,21445,2,172.4
583,3012,10596,3,173.63
584,13007,29676,1,173.04
585,25258,1504,2,198.91
586,24493,5108,4,122.58
587,6635,994,1,129.52
588,20357,24654,3,113.86
589,12561,17686,1,117.9
590,25880,7701,3,78.7
591,21734,3212,5,175.71
592,18520,17412,2,113.34
593,21897,8739,5,104.75
594,25199,2252,5,133.55
595,24018,2490,2,46.98
596,20080,2873,3,29.98
597,1454,24390,1,78.66
598,17431,16637,2,104.31
599,671,14220,2,170.34
600,5732,8483,5,133.07
601,16814,8047,1,166.0
602,269,14679,1,77.05
603,28247,20344,5,161.02
604,6911,8909,5,153.31
605,15175,9317,1,146.41
606,26486,21467,3,146.04
607,20459,309,1,157.49
608,23074,3121,1,78.28
609,8704,27480,5,26.1
610,13183,3394,1,136.63
611,27910,24578,5,30.83
612,18426,17144,2,101.9
613,9996,27894,3,78.62
614,28985,198,1,54.13
615,10730,21288,3,161.85
616,14702,24211,2,71.21
617,24962,279,5,87.7
618,2528,22518,4,124.53
619,11308,3565,2,85.71
620,7676,23378,5,186.46
621,9447,28050,1,85.58
622,10806,2010,2,69.69
623,27923,3571,2,95.15
624,23710,27542,5,35.31
625,8630,15046,5,115.57
626,1172,29328,5,199.04
627,21568,9301,3,167.84
628,19643,11069,1,57.54
629,5863,2506,4,71.94
630,4769,17477,5,115.71
631,18379,6481,4,74.57
632,29441,4975,2,33.25
633,19274,16369,3,90.92
634,25723,7800,2,178.67
635,10148,5665,3,43.12
636,19423,21404,5,150.52
637,12471,28222,3,116.17
638,19816,768,1,111.72
639,11340,5577,3,42.33
640,3828,29729,4,41.35
641,26047,15513,5,155.77
642,25638,15224,4,136.38
643,17216,23919,5,156.47
644,16632,26979,3,71.39
645,15884,8291,3,161.57
646,17882,26569,3,185.22
647,11258,21842,2,27.86
648,19725,28924,2,106.13
649,20875,1260,1,98.29
650,3174,9520,2,139.1
651,13668,25604,4,73.26
652,3013,19345,1,86.4
653,20722,21133,5,127.56
654,4774,15340,4,96.86
655,9986,15640,3,46.62
656,27422,24801,3,183.52
657,20860,608,2,110.12
658,10513,22009,5,76.84
659,20408,25913,3,54.77
660,16893,13360,3,42.62
661,15937,12520,3,66.65
662,23009,613,4,127.92
663,10662,9666,4,135.42
664,680,17800,3,35.08
665,20664,8540,2,87.69
666,14314,12873,4,84.92
667,5986,3077,2,143.91
668,13696,15392,3,145.06
669,4658,20711,4,113.85
670,26728,14714,5,111.7
671,7024,24244,2,140.38
672,25855,12673,3,154.58
673,27496,13611,3,93.31
674,3233,1983,4,180.57
675,11883,9227,1,109.72
676,6076,29455,3,59.06
677,27094,26217,1,61.0
678,23923,2494,4,120.23
679,28165,9715,3,79.89
680,33,5083,4,64.26
681,12527,17883,1,32.36
682,1132,19586,2,148.68
683,11447,1630,2,186.64
684,22770,4881,5,34.8
685,6744,4829,5,40.88
686,21510,12880,4,31.8
687,5178,9365,1,175.81
688,15616,12992,3,162.53
689,4659,19888,4,104.77
690,16734,1867,3,47.72
691,6334,638,1,21.89
692,27090,13395,2,33.36
693,16314,14217,5,121.36
694,24925,6944,5,174.77
695,9713,1320,4,58.87
696,27502,8032,2,86.74
697,12652,2867,1,160.88
698,1440,19147,1,44.24
699,14483,24921,2,95.02
700,14421,15870,3,93.14
701,9992,23939,5,158.5
702,6062,23983,2,179.99
703,13654,4470,2,108.65
704,23290,20350,5,49.27
705,28312,28309,2,29.89
706,18234,14435,2,39.39
707,23657,25068,2,54.87
708,4503,25953,1,99.25
709,14628,15893,2,78.61
710,20855,11701,5,108.21
711,29578,24770,4,146.38
712,28774,2616,5,114.39
713,12288,696,4,110.69
714,5150,6937,5,41.21
715,18670,1164,5,26.89
716,16842,7264,2,182.81
717,1432,10179,1,85.01
718,23763,19118,1,143.01
719,1714,5899,3,108.5
720,19227,12199,4,47.48
721,13582,15128,3,21.95
722,1529,9488,2,191.5
723,7267,12802,4,25.93
724,5524,13558,4,81.64
725,20235,8842,5,169.23
726,15310,26226,2,97.01
727,65,3090,4,57.59
728,385,23579,3,103.97
729,20072,20552,4,109.31
730,25043,22176,5,175.13
731,9117,11926,4,64.49
732,14604,25725,5,154.66
733,5997,12633,2,171.09
734,21552,4178,4,84.85
735,6097,25264,5,117.12
736,10607,14297,5,79.46
737,11893,19318,1,180.69
738,7979,9140,2,30.21
739,12751,6296,5,176.29
740,2171,10921,2,64.76
741,5309,15555,2,62.88
742,24130,19311,4,81.72
743,22671,27310,1,172.09
744,9573,15367,2,57.25
745,24235,7049,2,177.45
746,9609,6057,4,155.92
747,10427,23578,1,123.56
748,2506,1823,3,189.6
749,19040,10160,2,156.88
750,18100,17782,2,194.35
751,26751,10953,5,81.33
752,2025,16426,3,110.15
753,15631,11427,4,65.43
754,5534,17428,2,160.53
755,6771,4384,1,105.54
756,11235,28887,1,191.25
757,15086,1344,2,54.71
758,6972,3537,5,83.93
759,1553,25618,4,102.05
760,5568,15318,2,139.65
761,14709,5243,2,51.72
762,29378,3390,1,37.33
763,17597,26048,4,98.98
764,10514,11158,1,122.13
765,27621,1891,5,53.01
766,12734,14156,4,161.44
767,22878,10388,1,174.78
768,20545,27139,3,191.41
769,10889,8506,3,176.14
770,22631,4518,4,44.83
771,406,21341,3,92.74
772,22145,740,3,126.55
773,63,29312,5,97.43
774,10411,1494,4,46.22
775,6918,11890,1,85.66
776,8272,26316,5,90.94
777,17982,10797,2,157.15
778,25077,20739,1,189.39
779,2948,9024,5,69.45
780,2765,17530,3,129.93
781,4969,16038,1,46.03
782,3853,570,1,167.52
783,13451,22539,1,137.18
784,25532,11445,2,167.39
785,4517,25641,2,21.91
786,22178,13625,5,100.07
787,13723,16912,1,176.51
788,2705,18038,3,101.04
789,26157,2255,4,156.53
790,20529,29315,2,178.02
791,10613,16175,1,74.92
792,1363,20120,3,153.87
793,21105,10781,1,65.03
794,28962,12559,3,183.74
795,17365,17161,4,133.55
796,11010,14521,4,129.55
797,22981,1649,1,138.35
798,21021,13061,2,65.29
799,2878,23008,3,80.9
800,15425,27490,2,163.26
801,15382,3495,1,113.18
802,4694,28588,3,25.72
803,19671,19566,3,62.4
804,2173,21347,1,125.53
805,11015,17342,1,95.54
806,6061,15428,2,57.06
807,6630,1294,2,126.87
808,20393,4176,5,85.62
809,26883,14590,2,30.36
810,15876,24356,3,168.6
811,20086,7897,1,178.34
812,16491,8270,5,59.18
813,3226,26500,2,45.53
814,22838,8708,5,39.8
815,2744,3724,5,92.69
816,24643,12416,5,155.66
817,3890,2359,3,161.71
818,12249,26817,5,169.2
819,21493,28203,5,150.54
820,29768,13909,3,125.57
821,15203,20187,1,38.51
822,6553,26278,2,119.45
823,14191,19084,1,102.53
824,19241,2680,5,178.35
825,1206,530,3,105.6
826,16250,8365,1,173.48
827,11112,7555,1,157.89
828,13285,14862,4,134.16
829,8347,16321,5,53.66
830,23403,19922,2,59.85
831,20721,23842,2,26.63
832,9669,28649,5,120.35
833,11542,565,1,115.33
834,21131,27088,1,53.14
835,8839,25553,3,54.96
836,3237,14259,4,29.46
837,16846,10825,2,59.92
838,28314,14383,5,49.55
839,22956,1593,1,120.87
840,24003,20207,4,87.15
841,28969,7950,1,166.07
842,13268,26952,3,74.81
843,25238,17975,4,123.94
844,10970,26219,1,129.23
845,7011,11657,2,92.53
846,15246,16278,3,49.08
847,27914,25531,4,72.27
848,13730,16211,4,161.13
849,22565,3732,5,69.73
850,7563,16882,3,44.31
851,6927,25963,5,85.27
852,12156,5038,3,166.85
853,5032,4201,3,161.93
854,3323,17514,1,178.89
855,7349,20977,5,151.03
856,15085,27343,4,100.1
857,18998,27825,5,98.25
858,859,2406,3,108.61
859,1940,25777,5,140.25
860,3683,12944,5,177.57
861,3955,25919,4,144.19
862,22027,10804,3,193.98
863,18907,14061,5,157.95
864,28269,5842,4,60.87
865,46,18021,2,188.09
866,21686,12583,4,40.37
867,18999,9852,1,22.07
868,14293,17848,3,152.76
869,29664,15534,3,80.75
870,9183,24244,3,172.83
871,6591,23312,4,100.77
872,13880,22191,3,124.07
873,24149,26320,2,88.7
874,11797,15757,3,85.21
875,23213,8070,3,28.11
876,5905,8354,3,145.21
877,27290,15854,5,124.43
878,20483,2058,4,197.25
879,12248,20891,1,194.93
880,18305,2112,2,71.28
881,25915,28605,1,59.55
882,10869,25649,2,70.76
883,15696,15438,3,27.15
884,4347,27702,5,61.12
885,24906,12873,3,29.37
886,5314,16030,1,46.48
887,17559,20673,4,82.65
888,6462,2950,5,171.6
889,4375,10562,5,36.66
890,14559,1974,5,137.34
891,24209,24172,1,91.11
892,6243,21970,1,22.59
893,28530,19019,4,80.08
894,3316,29450,2,28.72
895,17080,1586,3,51.7
896,10427,5953,5,38.02
897,10926,24970,5,154.0
898,5249,601,1,179.29
899,29050,17663,2,87.77
900,25245,29898,2,138.81
901,25314,22664,4,108.16
902,6389,19522,4,79.12
903,24537,1022,3,134.36
904,21736,14242,3,100.82
905,887,23199,1,166.11
906,8730,13837,3,172.35
907,6681,5916,2,30.72
908,18936,7414,4,194.22
909,8263,8873,1,52.27
910,20134,22613,2,79.54
911,24142,15316,5,199.25
912,23377,18982,1,126.52
913,21732,22293,2,176.16
914,780,16752,2,22.78
915,11601,13140,5,141.18
916,11037,9402,4,194.45
917,5856,1251,2,176.79
918,28107,6833,1,140.29
919,26632,6914,1,171.51
920,5020,10508,4,123.17
921,27008,8285,3,180.54
922,9795,8392,2,155.96
923,16842,20536,5,114.57
924,5657,837,2,51.01
925,24259,2336,4,91.23
926,3051,22575,5,155.88
927,8477,29496,1,93.85
928,1759,3423,4,95.27
929,27416,14587,2,131.65
930,17924,1687,1,47.79
931,20878,26649,2,94.74
932,18724,25223,4,123.49
933,10074,22473,2,64.72
934,26569,19974,1,102.37
935,12652,21091,1,69.46
936,15744,10060,1,74.01
937,10211,17999,2,69.73
938,3653,11024,1,127.43
939,26717,4187,1,85.75
940,18801,28287,5,111.84
941,17667,2958,1,121.16
942,17269,18365,2,95.91
943,16447,11083,4,188.78
944,11937,8439,2,80.08
945,11102,14311,1,58.3
946,21454,19077,4,158.53
947,5191,18011,2,125.11
948,7960,17023,4,120.51
949,5227,22769,1,100.74
950,11544,15805,5,52.58
951,3849,23962,3,124.17
952,21584,26679,3,132.62
953,23901,1924,3,96.38
954,18682,9732,3,24.57
955,3456,1635,1,95.49
956,2762,14564,5,109.27
957,26769,8155,3,91.58
958,2259,20114,4,163.51
959,11412,16981,3,197.77
960,13177,18084,1,133.01
961,23247,4496,1,197.85
962,20047,8415,4,89.06
963,5186,14869,4,196.75
964,13724,25987,1,123.3
965,27635,22048,5,197.46
966,17217,25155,2,136.5
967,9036,14847,4,173.07
968,16296,11161,3,60.12
969,15080,28038,2,169.56
970,17760,22513,4,165.47
971,15495,956,2,175.09
972,21833,15239,5,127.11
973,10944,19387,1,89.11
974,62,20721,5,72.01
975,9166,2409,3,110.18
976,2704,25558,2,170.69
977,24167,11924,5,49.77
978,20504,661,5,73.62
979,19932,4640,2,109.0
980,15863,8474,1,149.48
981,1789,9546,2,149.82
982,24856,26649,2,106.16
983,27561,7155,4,109.31
984,5633,11249,3,76.31
985,13649,7577,5,87.5
986,15399,5756,1,155.62
987,19094,11465,4,101.47
988,26259,6321,4,105.64
989,11919,18574,5,87.62
990,8834,10763,2,124.32
991,28157,12779,4,67.45
992,22537,20737,3,57.24
993,18585,5643,4,178.28
994,18702,22566,3,142.79
995,28868,1729,1,61.62
996,24196,14009,3,177.56
997,13787,11473,3,192.77
998,778,8091,3,110.45
999,18806,15846,3,124.58
1000,25053,2127,3,75.2
