id_pagamento,id_pedido,forma_pagamento,valor_total,data
127,21945,Pix,103.3,2025-05-17
128,8094,Pix,389.22,2022-06-30
129,4917,Boleto,494.85,2023-06-13
130,15494,Pix,377.1,2024-11-21
131,21242,Pix,169.7,2025-05-25
132,5555,Pix,480.71,2023-01-11
133,14658,Pix,439.01,2023-12-28
134,43,Boleto,328.79,2023-12-08
135,7875,Boleto,467.65,2025-03-12
136,11927,Cartão,473.72,2024-01-26
137,19418,Boleto,438.35,2024-04-07
138,24908,Pix,69.63,2023-10-26
139,14987,Pix,307.86,2022-11-27
140,4123,Boleto,434.64,2024-08-18
141,628,Pix,77.27,2023-09-14
142,24075,Cartão,280.94,2022-12-19
143,21527,Pix,118.45,2023-01-23
144,5380,Pix,312.86,2022-12-03
145,10528,Cartão,40.23,2022-07-22
146,3515,Boleto,309.13,2024-11-25
147,8080,Pix,498.86,2024-01-07
148,18149,Cartão,490.41,2024-01-28
149,1964,Boleto,495.41,2024-11-13
150,4273,Pix,174.56,2024-11-08
151,28010,Boleto,439.36,2022-06-22
152,29423,Pix,239.47,2024-11-15
153,7258,Boleto,350.32,2024-05-07
154,14106,Pix,244.07,2024-06-18
155,12588,Cartão,276.73,2022-10-14
156,22014,Pix,337.71,2024-12-06
157,12574,Cartão,141.04,2023-11-30
158,26747,Pix,386.38,2022-11-07
159,16064,Pix,99.38,2023-11-25
160,14319,Cartão,138.41,2023-05-02
161,14868,Boleto,354.82,2022-09-30
162,7086,Boleto,139.37,2023-10-29
163,10759,Pix,482.69,2023-12-25
164,13096,Boleto,350.39,2025-01-17
165,16611,Cartão,251.88,2025-05-27
166,20328,Pix,487.67,2025-01-23
167,21531,Boleto,107.43,2024-05-22
168,8847,Pix,230.74,2024-04-10
169,20433,Cartão,260.97,2025-04-04
170,27335,Cartão,331.58,2024-10-15
171,11582,Pix,207.7,2024-11-22
172,13371,Boleto,319.41,2024-02-18
173,12287,Pix,476.5,2024-11-11
174,23117,Pix,141.92,2023-11-09
175,6043,Pix,475.29,2023-03-10
176,17950,Boleto,279.44,2025-04-26
177,3046,Boleto,90.65,2024-04-27
178,22311,Pix,132.18,2023-08-01
179,483,Pix,426.63,2023-12-25
180,16910,Boleto,346.99,2024-01-14
181,21501,Boleto,337.33,2023-05-27
182,9497,Pix,191.03,2022-07-28
183,2581,Boleto,75.15,2023-03-20
184,16820,Cartão,98.94,2023-07-01
185,17781,Boleto,386.11,2022-11-10
186,11521,Cartão,448.45,2025-04-05
187,5860,Cartão,140.49,2024-07-28
188,12058,Boleto,436.59,2024-11-19
189,19346,Cartão,446.91,2025-03-20
190,5677,Boleto,223.09,2024-11-26
191,12328,Cartão,148.67,2025-03-13
192,25769,Pix,298.79,2025-04-24
193,10490,Cartão,433.05,2023-11-28
194,8132,Cartão,390.76,2025-05-18
195,29679,Boleto,87.08,2023-07-16
196,15809,Cartão,227.59,2023-06-13
197,12627,Cartão,113.56,2022-07-03
198,19157,Pix,309.52,2023-05-27
199,21027,Boleto,128.18,2023-03-12
200,28786,Cartão,69.43,2023-09-07
201,19159,Pix,351.76,2023-11-26
202,17938,Boleto,63.82,2024-03-16
203,28608,Boleto,262.68,2024-06-14
204,17022,Cartão,40.1,2023-12-22
205,12569,Boleto,383.76,2025-05-03
206,26891,Cartão,431.01,2024-03-27
207,11950,Pix,285.78,2024-03-09
208,6248,Cartão,218.26,2023-12-25
209,7742,Boleto,376.39,2022-08-29
210,19024,Pix,52.31,2024-12-01
211,2067,Boleto,175.66,2023-12-24
212,8023,Cartão,46.76,2023-10-31
213,6625,Pix,278.77,2025-03-13
214,501,Boleto,340.78,2024-04-25
215,1398,Cartão,32.49,2024-03-28
216,20456,Boleto,263.58,2024-12-02
217,5209,Pix,340.69,2023-10-20
218,18051,Pix,201.66,2022-09-22
219,13075,Boleto,174.46,2024-12-28
220,13273,Cartão,236.95,2024-01-12
221,7203,Pix,350.46,2025-02-22
222,28645,Pix,79.09,2024-02-13
223,7158,Boleto,73.19,2024-11-15
224,6378,Boleto,365.82,2023-05-08
225,28744,Boleto,160.39,2023-10-23
226,2687,Boleto,409.59,2024-01-30
227,25049,Cartão,189.64,2024-08-15
228,22877,Cartão,313.76,2023-11-23
229,6337,Cartão,217.0,2025-01-08
230,1615,Cartão,35.37,2024-08-20
231,29547,Pix,249.61,2024-09-02
232,29644,Boleto,277.39,2025-01-05
233,25454,Cartão,468.52,2025-01-15
234,19205,Pix,468.84,2022-09-26
235,17756,Boleto,412.31,2023-10-15
236,6518,Boleto,269.99,2022-08-27
237,5528,Pix,239.67,2023-08-18
238,7193,Pix,85.31,2024-08-26
239,7460,Pix,123.23,2024-10-25
240,2478,Boleto,324.69,2023-09-17
241,27339,Boleto,301.43,2022-07-21
242,2968,Cartão,486.27,2023-08-17
243,20646,Pix,312.83,2023-03-12
244,28099,Boleto,425.09,2025-05-24
245,26964,Boleto,204.56,2022-07-01
246,22669,Pix,112.14,2024-03-07
247,20791,Boleto,380.37,2023-02-15
248,9542,Cartão,411.78,2025-02-19
249,258,Cartão,362.65,2023-07-15
250,28250,Boleto,489.64,2024-06-01
251,13124,Cartão,282.4,2022-10-02
252,25946,Boleto,79.28,2024-04-30
253,29976,Pix,461.7,2022-07-03
254,3449,Pix,454.29,2023-06-05
255,2090,Cartão,182.05,2023-03-17
256,14019,Boleto,461.3,2023-03-01
257,24063,Boleto,408.93,2024-09-07
258,17771,Cartão,195.76,2022-11-16
259,11471,Boleto,410.59,2024-05-27
260,3111,Boleto,291.32,2023-10-19
261,15452,Pix,149.76,2022-12-04
262,22952,Boleto,252.37,2022-11-01
263,28772,Pix,384.75,2023-03-26
264,12798,Cartão,90.69,2023-11-14
265,15511,Cartão,166.24,2022-12-20
266,12913,Pix,388.89,2023-03-02
267,18936,Cartão,427.66,2023-02-18
268,1740,Pix,493.47,2024-01-26
269,3883,Cartão,111.0,2025-01-12
270,2948,Pix,323.18,2023-05-22
271,14742,Boleto,268.71,2024-09-21
272,18334,Boleto,57.37,2023-06-24
273,29363,Boleto,313.96,2022-10-31
274,23203,Boleto,386.93,2022-07-22
275,29222,Pix,429.81,2025-04-13
276,25007,Pix,464.39,2025-03-07
277,11393,Pix,33.84,2023-10-18
278,18897,Pix,439.83,2024-12-30
279,1932,Cartão,68.76,2023-03-30
280,19094,Cartão,451.46,2024-11-09
281,1486,Boleto,205.63,2023-09-21
282,23075,Cartão,415.92,2025-03-14
283,18146,Boleto,149.08,2022-12-12
284,484,Boleto,99.07,2024-12-08
285,4934,Cartão,476.71,2022-06-29
286,27178,Boleto,267.35,2023-06-21
287,18434,Pix,488.55,2023-06-15
288,17726,Pix,138.55,2025-01-18
289,12865,Boleto,343.86,2023-07-26
290,2715,Cartão,499.23,2023-05-16
291,26920,Boleto,235.93,2022-12-14
292,25343,Boleto,78.64,2022-07-20
293,27359,Cartão,368.36,2024-05-28
294,21993,Cartão,33.96,2023-10-19
295,921,Boleto,301.13,2024-12-05
296,3077,Pix,166.99,2023-05-30
297,26585,Boleto,309.45,2025-03-18
298,12898,Boleto,117.34,2023-12-09
299,17809,Pix,387.19,2023-06-07
300,22561,Boleto,379.62,2025-06-06
301,24696,Boleto,287.88,2023-04-08
302,28596,Cartão,298.38,2022-08-01
303,19067,Boleto,387.41,2023-07-07
304,21999,Boleto,56.04,2024-02-08
305,24016,Pix,476.62,2025-03-10
306,29179,Boleto,478.28,2024-02-18
307,24820,Boleto,138.2,2024-02-12
308,17691,Pix,499.46,2023-12-20
309,4069,Boleto,163.67,2025-03-14
310,24859,Pix,221.79,2024-05-08
311,27529,Pix,112.9,2025-03-24
312,27253,Cartão,41.05,2024-04-23
313,5917,Boleto,184.97,2023-06-03
314,482,Cartão,462.56,2024-06-22
315,562,Cartão,179.38,2024-12-14
316,15742,Boleto,430.66,2024-03-01
317,6434,Cartão,120.18,2023-11-02
318,19247,Pix,150.95,2023-07-16
319,9332,Pix,273.39,2025-04-26
320,18171,Cartão,172.43,2023-02-14
321,28635,Boleto,254.45,2025-02-21
322,26276,Pix,401.95,2024-10-11
323,3706,Boleto,163.44,2022-11-03
324,13151,Boleto,353.68,2023-07-02
325,21609,Boleto,452.32,2023-01-22
326,18429,Pix,430.18,2023-05-18
327,16669,Boleto,91.19,2022-08-08
328,2931,Boleto,381.01,2024-06-21
329,3877,Cartão,489.65,2023-04-16
330,9914,Pix,101.28,2024-10-07
331,4331,Pix,332.18,2022-08-28
332,8894,Pix,289.01,2024-06-07
333,1839,Pix,149.06,2022-08-22
334,5795,Cartão,125.67,2022-12-15
335,18485,Boleto,113.51,2024-10-19
336,29627,Boleto,326.23,2023-08-21
337,18626,Cartão,275.92,2024-11-11
338,25473,Boleto,496.68,2024-10-14
339,26247,Boleto,52.34,2023-06-10
340,25119,Boleto,455.3,2022-12-10
341,9133,Cartão,205.99,2024-01-02
342,18206,Cartão,317.98,2022-11-12
343,2599,Pix,336.88,2022-10-17
344,15649,Boleto,394.55,2022-06-30
345,6499,Pix,204.67,2023-07-23
346,24269,Boleto,175.54,2023-02-11
347,15496,Pix,308.28,2024-04-25
348,7547,Boleto,283.79,2024-05-16
349,11869,Pix,314.33,2022-07-28
350,7207,Pix,364.14,2023-03-08
351,13973,Pix,299.53,2024-01-15
352,8434,Boleto,189.19,2024-10-26
353,14558,Cartão,499.81,2023-07-24
354,2024,Cartão,286.46,2024-01-24
355,17603,Pix,341.83,2024-12-07
356,27639,Cartão,321.79,2022-12-16
357,17665,Cartão,115.24,2023-03-29
358,236,Pix,158.89,2025-04-02
359,12333,Cartão,384.75,2022-06-29
360,26455,Pix,330.63,2023-12-14
361,13133,Boleto,424.56,2023-08-23
362,7797,Pix,61.53,2022-06-13
363,22241,Pix,171.6,2023-07-18
364,24260,Cartão,254.52,2023-09-27
365,29706,Boleto,374.81,2023-07-21
366,18885,Boleto,250.36,2022-06-16
367,1927,Pix,281.38,2024-04-27
368,807,Pix,426.83,2025-03-03
369,27192,Boleto,53.74,2022-11-10
370,6820,Cartão,239.07,2022-11-21
371,3489,Boleto,93.56,2024-06-23
372,14085,Cartão,480.8,2022-12-03
373,8919,Cartão,132.73,2022-12-02
374,17564,Cartão,102.43,2025-02-14
375,27391,Cartão,256.69,2025-04-23
376,28548,Pix,201.4,2022-09-02
377,14629,Pix,333.7,2025-01-25
378,13292,Boleto,290.65,2022-09-14
379,8843,Pix,326.51,2025-05-06
380,17163,Cartão,142.77,2023-12-04
381,26972,Pix,455.61,2024-08-16
382,1276,Pix,390.02,2025-04-24
383,6542,Pix,419.72,2024-12-30
384,16617,Cartão,471.16,2023-11-27
385,18299,Cartão,283.8,2022-09-18
386,22385,Cartão,410.7,2022-12-09
387,16257,Boleto,299.7,2024-12-22
388,26377,Pix,364.29,2024-08-30
389,16211,Cartão,239.69,2024-02-07
390,6078,Cartão,268.64,2024-09-13
391,20661,Boleto,370.42,2025-04-22
392,29078,Pix,30.93,2022-10-15
393,8377,Boleto,155.99,2024-01-10
394,7184,Cartão,78.66,2024-07-07
395,10666,Cartão,402.84,2023-01-20
396,26135,Pix,172.06,2025-02-22
397,2376,Cartão,418.49,2022-12-09
398,29359,Cartão,52.46,2024-07-18
399,23080,Boleto,223.27,2023-10-02
400,23890,Pix,328.47,2025-03-29
401,26598,Boleto,74.63,2023-03-30
402,28320,Boleto,218.39,2023-10-22
403,25785,Boleto,403.02,2024-03-27
404,13819,Pix,178.12,2023-03-25
405,27781,Boleto,120.76,2024-08-27
406,21927,Pix,128.6,2025-02-03
407,15,Pix,195.19,2024-12-04
408,28819,Pix,349.78,2024-02-04
409,4433,Pix,466.4,2022-07-25
410,29676,Pix,369.61,2025-06-06
411,15826,Boleto,356.59,2024-08-16
412,3519,Pix,259.63,2024-10-21
413,5146,Pix,490.31,2022-06-22
414,14547,Cartão,90.33,2023-08-23
415,11433,Pix,203.18,2025-03-07
416,8641,Cartão,351.64,2022-11-01
417,27524,Cartão,164.38,2024-07-12
418,25658,Cartão,497.1,2024-02-26
419,28280,Boleto,278.75,2024-12-14
420,20683,Cartão,196.0,2022-07-28
421,24999,Cartão,363.5,2022-09-12
422,17492,Pix,348.87,2024-06-03
423,24374,Pix,73.08,2023-04-17
424,16596,Cartão,412.58,2024-05-06
425,2810,Boleto,36.89,2024-09-08
426,25523,Cartão,481.62,2024-04-24
427,24109,Boleto,42.78,2023-04-23
428,2770,Cartão,316.02,2024-04-01
429,29431,Boleto,309.05,2022-10-17
430,27968,Boleto,186.11,2025-04-18
431,18327,Pix,317.53,2024-08-26
432,14912,Boleto,265.43,2023-12-11
433,6805,Pix,278.35,2025-02-13
434,2430,Cartão,64.67,2024-07-29
435,8394,Pix,118.52,2022-07-30
436,16310,Pix,155.51,2024-02-25
437,18520,Cartão,283.31,2023-12-15
438,9627,Pix,191.91,2023-04-11
439,10823,Pix,111.45,2023-07-07
440,22619,Boleto,428.03,2024-11-12
441,13561,Boleto,199.69,2022-10-01
442,18337,Boleto,233.22,2023-03-16
443,2983,Boleto,97.57,2025-05-29
444,14075,Cartão,341.43,2023-11-10
445,20731,Cartão,219.78,2023-04-30
446,11979,Cartão,332.13,2023-08-07
447,17931,Boleto,417.93,2024-04-24
448,26830,Cartão,84.97,2024-04-17
449,16404,Pix,438.36,2023-04-27
450,2311,Pix,53.44,2023-02-11
451,8072,Boleto,401.55,2022-07-30
452,27809,Boleto,198.6,2022-07-04
453,8445,Cartão,413.82,2022-06-29
454,18314,Cartão,389.36,2022-08-18
455,4683,Boleto,65.16,2024-08-06
456,27860,Boleto,375.27,2023-05-29
457,1750,Cartão,466.22,2024-10-18
458,24846,Pix,130.94,2022-08-03
459,3791,Boleto,202.91,2023-11-30
460,13736,Pix,498.48,2025-03-08
461,27156,Boleto,78.43,2024-07-27
462,29126,Pix,232.41,2023-01-15
463,4584,Pix,463.03,2024-10-31
464,25024,Cartão,95.43,2022-09-17
465,19489,Pix,93.49,2024-01-17
466,25077,Pix,490.48,2024-12-01
467,29461,Pix,491.84,2025-03-22
468,25573,Cartão,63.42,2024-07-20
469,15357,Boleto,361.96,2022-10-08
470,8557,Boleto,178.83,2025-03-01
471,21059,Cartão,404.03,2022-08-17
472,16581,Cartão,178.4,2024-10-31
473,11828,Boleto,74.84,2023-06-12
474,7390,Boleto,124.37,2023-04-14
475,16248,Boleto,88.71,2024-09-09
476,20521,Cartão,198.81,2025-04-25
477,26408,Cartão,451.84,2023-08-17
478,15182,Cartão,416.4,2023-09-15
479,8599,Boleto,144.63,2023-01-27
480,258,Pix,485.49,2023-10-04
481,11768,Pix,417.96,2023-12-28
482,19880,Pix,262.97,2023-11-27
483,8217,Cartão,467.9,2022-12-11
484,586,Pix,271.97,2023-06-29
485,7646,Cartão,54.72,2023-11-28
486,17750,Pix,316.44,2023-02-23
487,25553,Cartão,61.81,2024-09-23
488,26719,Cartão,86.43,2022-10-03
489,1486,Pix,288.33,2024-08-22
490,21789,Cartão,426.61,2025-03-08
491,25867,Cartão,297.98,2023-02-10
492,27474,Cartão,52.02,2022-11-09
493,27949,Pix,315.68,2023-06-14
494,29945,Cartão,61.92,2024-01-18
495,17963,Cartão,247.27,2023-09-10
496,23631,Boleto,107.79,2023-09-09
497,22927,Pix,395.08,2023-11-01
498,2981,Pix,268.9,2024-04-21
499,28460,Boleto,386.08,2024-02-14
500,22981,Cartão,316.16,2023-06-16
501,21801,Cartão,289.5,2024-06-30
502,29478,Cartão,445.91,2023-08-07
503,17689,Boleto,460.61,2022-10-12
504,17984,Pix,179.7,2025-01-16
505,8558,Boleto,419.96,2025-05-22
506,9299,Cartão,450.29,2024-11-04
507,29642,Cartão,220.16,2024-12-23
508,29219,Cartão,111.41,2024-06-30
509,2397,Boleto,323.0,2023-03-08
510,7483,Pix,72.93,2023-07-27
511,8718,Boleto,469.79,2025-02-25
512,22116,Pix,403.09,2024-09-22
513,21303,Pix,39.54,2022-06-15
514,12726,Cartão,105.68,2024-08-04
515,26955,Boleto,272.5,2025-03-21
516,17173,Pix,264.48,2024-10-03
517,25399,Cartão,307.68,2022-10-04
518,11486,Boleto,356.29,2023-04-01
519,5333,Cartão,182.05,2024-05-02
520,5656,Cartão,40.68,2023-03-22
521,27179,Pix,382.9,2025-02-10
522,14902,Pix,92.35,2025-01-19
523,19111,Boleto,493.08,2024-06-14
524,4447,Boleto,45.45,2024-12-26
525,17597,Boleto,348.98,2025-05-25
526,14427,Cartão,265.48,2023-06-12
527,13928,Boleto,351.5,2022-12-11
528,3472,Boleto,188.57,2025-01-17
529,22979,Cartão,443.75,2023-10-20
530,25568,Pix,140.5,2024-04-18
531,19077,Boleto,336.75,2023-08-16
532,8934,Boleto,71.47,2025-01-09
533,12172,Pix,68.03,2025-04-16
534,17558,Cartão,167.08,2024-12-13
535,6392,Boleto,299.76,2024-06-30
536,20596,Pix,288.5,2022-10-08
537,2976,Boleto,371.78,2022-09-20
538,12717,Cartão,380.36,2023-04-12
539,20403,Pix,49.4,2022-12-31
540,16495,Cartão,486.9,2023-03-19
541,27164,Pix,291.67,2023-07-19
542,2369,Pix,227.39,2024-02-06
543,17847,Cartão,194.42,2024-10-26
544,9796,Cartão,269.13,2023-03-17
545,16813,Pix,241.3,2023-06-02
546,17584,Cartão,333.02,2023-08-02
547,10502,Cartão,316.92,2022-11-08
548,7699,Cartão,147.52,2024-08-21
549,21005,Cartão,430.65,2024-08-30
550,12673,Cartão,104.33,2024-05-20
551,15053,Boleto,174.73,2022-10-07
552,611,Boleto,172.42,2022-06-25
553,1628,Boleto,415.41,2025-04-26
554,27831,Boleto,159.04,2025-03-23
555,14832,Boleto,244.0,2024-12-17
556,28495,Cartão,404.38,2023-05-05
557,17317,Cartão,293.12,2023-09-05
558,15951,Pix,302.94,2023-04-19
559,13319,Boleto,210.58,2023-09-25
560,11727,Cartão,385.62,2022-06-14
561,16155,Pix,499.08,2023-07-18
562,26158,Boleto,301.5,2023-11-29
563,28674,Pix,193.18,2024-09-13
564,5700,Boleto,241.14,2023-08-28
565,24134,Pix,188.65,2022-06-12
566,20031,Cartão,196.15,2024-09-22
567,8322,Boleto,332.6,2023-08-27
568,27944,Pix,421.52,2024-11-25
569,13443,Pix,125.11,2025-01-14
570,25637,Pix,246.55,2024-09-27
571,16979,Cartão,292.6,2023-10-12
572,7918,Pix,371.27,2024-10-01
573,11996,Cartão,314.38,2025-02-21
574,21547,Pix,344.77,2023-09-23
575,14912,Pix,107.35,2023-06-14
576,454,Boleto,30.81,2022-07-20
577,1149,Cartão,369.46,2022-07-25
578,4835,Cartão,480.67,2022-07-24
579,11990,Cartão,461.85,2023-08-06
580,10345,Cartão,94.16,2023-03-08
581,28261,Boleto,217.57,2022-11-13
582,26119,Cartão,381.77,2025-06-07
583,20075,Cartão,440.29,2023-10-15
584,7391,Pix,276.1,2024-09-16
585,29861,Boleto,198.24,2023-07-12
586,13922,Cartão,140.87,2023-05-12
587,22231,Cartão,371.72,2024-08-16
588,11490,Boleto,407.03,2023-06-26
589,27001,Boleto,238.75,2024-02-17
590,14931,Boleto,179.95,2025-03-18
591,3510,Pix,84.63,2023-06-16
592,10380,Boleto,426.6,2025-03-18
593,29022,Pix,49.87,2022-07-17
594,5116,Cartão,344.6,2022-12-04
595,27918,Boleto,371.94,2024-09-01
596,4542,Cartão,222.23,2024-06-15
597,24580,Pix,91.75,2024-09-20
598,24378,Cartão,137.3,2025-03-29
599,8923,Pix,299.64,2023-08-15
600,13570,Boleto,148.88,2024-10-27
601,13855,Boleto,340.07,2023-04-16
602,12835,Pix,112.58,2022-08-25
603,28767,Cartão,153.19,2022-12-29
604,5678,Pix,212.26,2024-11-27
605,1523,Cartão,124.96,2024-02-02
606,7946,Pix,92.09,2023-05-25
607,25868,Cartão,285.92,2022-07-03
608,20747,Boleto,98.2,2024-04-02
609,27298,Cartão,64.24,2025-04-15
610,12808,Cartão,102.22,2024-01-10
611,4776,Pix,420.35,2025-02-17
612,25734,Boleto,50.14,2024-02-28
613,6409,Cartão,126.32,2023-07-31
614,8424,Cartão,42.42,2024-04-28
615,20890,Cartão,135.35,2025-04-01
616,7963,Pix,223.2,2023-05-06
617,5319,Pix,311.92,2024-03-25
618,13700,Boleto,485.96,2025-03-20
619,13176,Boleto,287.53,2023-07-05
620,18393,Cartão,481.61,2024-09-21
621,13764,Pix,48.34,2023-02-20
622,21877,Pix,431.05,2023-07-26
623,14756,Cartão,433.76,2023-10-09
624,8221,Boleto,172.38,2022-11-08
625,15618,Boleto,215.82,2022-09-16
626,24697,Cartão,399.08,2024-04-03
627,9294,Pix,134.14,2025-05-17
628,111,Cartão,45.67,2024-05-07
629,9687,Boleto,106.91,2023-11-17
630,25602,Boleto,458.86,2025-02-08
631,26196,Boleto,122.2,2022-07-06
632,6780,Boleto,346.86,2024-12-22
633,362,Cartão,401.52,2024-11-26
634,17560,Pix,63.01,2022-07-07
635,1174,Pix,42.91,2024-12-01
636,13499,Cartão,335.7,2023-12-31
637,29020,Cartão,109.39,2025-05-24
638,14356,Pix,233.06,2022-12-23
639,22523,Pix,391.56,2023-10-16
640,16674,Boleto,315.41,2025-03-04
641,24292,Boleto,493.22,2024-11-27
642,9796,Pix,310.41,2022-06-28
643,5106,Boleto,272.61,2024-08-25
644,21403,Cartão,256.25,2025-04-20
645,13631,Boleto,388.67,2023-03-20
646,2531,Cartão,62.18,2024-12-03
647,10477,Pix,454.84,2024-02-05
648,15594,Boleto,281.02,2022-07-16
649,25053,Cartão,228.87,2023-07-14
650,16829,Cartão,251.21,2024-01-23
651,18797,Cartão,121.28,2023-10-06
652,7079,Cartão,421.08,2024-09-12
653,5868,Boleto,52.84,2023-12-31
654,29832,Cartão,283.51,2023-02-03
655,7747,Pix,139.19,2023-02-13
656,23000,Cartão,31.73,2023-03-02
657,18281,Pix,37.98,2024-11-03
658,11091,Boleto,442.83,2024-02-11
659,6787,Boleto,365.21,2023-02-02
660,6567,Pix,52.63,2024-02-29
661,23990,Cartão,363.96,2022-09-16
662,17816,Cartão,129.96,2025-01-21
663,3971,Cartão,79.85,2023-06-06
664,28958,Boleto,86.31,2025-01-17
665,13376,Boleto,221.43,2022-09-17
666,743,Cartão,428.28,2025-04-06
667,26379,Cartão,472.45,2025-01-02
668,10804,Pix,364.92,2022-12-24
669,22500,Boleto,457.32,2025-04-30
670,21911,Pix,377.73,2024-08-04
671,27535,Cartão,116.56,2023-11-25
672,28845,Pix,305.2,2022-11-25
673,29366,Pix,267.07,2023-12-12
674,25886,Pix,370.99,2025-02-15
675,13418,Cartão,33.91,2022-06-24
