id_estoque,id_livro,quantidade
177,22,7
178,29460,49
179,20327,47
180,5811,61
181,7658,27
182,21723,41
183,11826,48
184,16948,88
185,19307,10
186,11084,19
187,1637,54
188,19973,54
189,4634,22
190,22393,79
191,10475,85
192,17273,20
193,20471,35
194,28995,62
195,20224,48
196,553,54
197,5993,92
198,29755,42
199,7918,72
200,23900,42
201,8013,53
202,27482,62
203,236,30
204,1997,86
205,20955,42
206,15851,99
207,12611,52
208,9880,43
209,4699,29
210,19386,22
211,26412,98
212,21142,55
213,10124,37
214,26653,56
215,11587,27
216,21413,88
217,11495,91
218,22611,0
219,8566,97
220,10622,83
221,21142,90
222,29139,44
223,28163,1
224,7379,59
225,24025,98
226,11041,22
227,15835,64
228,23359,69
229,17545,98
230,18164,99
231,3779,34
232,8585,82
233,8379,47
234,20620,55
235,8373,25
236,11259,28
237,28750,88
238,4227,74
239,16578,67
240,12794,5
241,15393,25
242,1606,41
243,9844,74
244,29676,4
245,989,71
246,13441,100
247,14668,45
248,11536,10
249,26773,54
250,13169,18
251,28195,20
252,2069,78
253,14818,66
254,2796,53
255,5584,83
256,16204,91
257,18225,68
258,14990,33
259,21128,58
260,23752,27
261,21618,100
262,25572,67
263,2120,31
264,24846,89
265,14527,65
266,26163,43
267,24609,40
268,22618,19
269,3785,94
270,13226,67
271,27625,0
272,10993,49
273,8517,42
274,13445,45
275,15690,48
276,18480,5
277,15685,51
278,8359,77
279,17135,20
280,2481,63
281,26368,7
282,11138,95
283,27182,15
284,3793,19
285,6647,10
286,515,5
287,7755,75
288,2390,87
289,6551,67
290,5264,38
291,13213,39
292,16308,61
293,6357,0
294,17931,33
295,17885,72
296,20665,30
297,8854,72
298,4295,38
299,28641,12
300,13116,84
301,20974,95
302,25828,45
303,11961,85
304,17834,64
305,27887,11
306,23305,76
307,12443,0
308,9846,54
309,7561,16
310,15308,41
311,29752,95
312,12818,8
313,23727,51
314,11362,48
315,7566,45
316,24362,88
317,15145,94
318,17392,26
319,29257,69
320,16086,90
321,10876,86
322,3116,43
323,14272,77
324,11353,71
325,9323,100
326,24977,87
327,14221,19
328,7571,63
329,13482,92
330,24897,34
331,16141,45
332,8135,46
333,13219,34
334,21535,43
335,20234,23
336,6520,99
337,2912,49
338,121,12
339,20189,46
340,15958,59
341,16593,11
342,12281,32
343,9702,73
344,10135,79
345,20417,16
346,26233,67
347,27687,17
348,6934,79
349,16300,75
350,3350,35
351,10812,40
352,11186,11
353,25557,50
354,3649,25
355,255,16
356,20019,69
357,5917,57
358,19799,28
359,5885,37
360,15281,7
361,18712,53
362,16573,9
363,26888,29
364,907,18
365,20495,65
366,8324,6
367,28875,29
368,16814,65
369,28759,8
370,24537,67
371,14546,69
372,14945,81
373,796,6
374,14978,74
375,21655,82
376,4432,48
377,20589,19
378,6643,96
379,24457,92
380,1898,41
381,13838,42
382,6721,81
383,11642,4
384,7864,65
385,19159,25
386,15333,61
387,3342,73
388,23448,72
389,6061,7
390,25616,99
391,25337,47
392,15492,4
393,5725,20
394,20361,99
395,21432,26
396,14292,77
397,19146,47
398,29252,8
399,10996,49
400,14959,8
401,13348,83
402,16361,42
403,25468,46
404,9734,72
405,16349,53
406,9010,97
407,20197,33
408,21806,18
409,15400,6
410,12596,78
411,29531,26
412,3167,17
413,20893,23
414,3741,67
415,18976,86
416,16813,47
417,17121,73
418,27810,13
419,6677,12
420,4449,2
421,9634,92
422,5247,73
423,4220,54
424,13174,69
425,38,93
426,28288,91
427,27697,66
428,16012,98
429,5166,74
430,10160,45
431,26333,5
432,17539,54
433,18448,65
434,1138,12
435,3180,13
436,28932,41
437,24681,14
438,19803,18
439,15653,100
440,20861,29
441,10388,69
442,29990,14
443,20065,70
444,11220,84
445,26239,63
446,13917,13
447,2352,47
448,8028,51
449,13997,51
450,8235,4
451,23614,33
452,14893,85
453,10347,95
454,11932,36
455,9096,93
456,8249,9
457,3540,22
458,936,32
459,23366,20
460,27057,99
461,2147,97
462,10561,58
463,9430,95
464,27455,71
465,25768,73
466,28731,81
467,10234,45
468,16313,41
469,16756,78
470,16758,50
471,10633,44
472,13657,97
473,6228,43
474,7886,40
475,9685,60
476,2991,43
477,1479,73
478,14585,12
479,16811,30
480,4278,14
481,14655,17
482,23949,94
483,11846,6
484,13765,15
485,28582,97
486,6812,45
487,17988,98
488,12129,6
489,3725,33
490,13700,17
491,19419,35
492,12903,19
493,16261,23
494,10811,100
495,28006,29
496,16444,34
497,26236,49
498,25856,65
499,17378,63
500,1971,49
501,14016,24
502,1961,30
503,16058,58
504,20709,35
505,19183,55
506,19298,30
507,4225,30
508,5916,16
509,15191,76
510,28381,86
511,29319,99
512,25550,30
513,23688,100
514,22648,44
515,18494,28
516,7452,34
517,29032,77
518,20649,25
519,18912,41
520,15264,46
521,7008,58
522,25223,66
523,22589,0
524,25346,88
525,23513,94
526,8033,37
527,18734,90
528,9699,34
529,19325,11
530,20546,61
531,25479,91
532,2867,68
533,21225,0
534,21497,41
535,26621,77
536,20850,31
537,12787,39
538,4767,45
539,12219,61
540,7676,82
541,4906,58
542,16766,78
543,538,76
544,10031,62
545,25105,11
546,26262,91
547,9493,16
548,4510,40
549,13698,40
550,9601,98
551,21324,6
552,13694,35
553,8858,41
554,124,93
555,12403,30
556,29174,73
557,10267,29
558,15509,5
559,1769,55
560,18620,7
561,7327,57
562,4986,96
563,559,27
564,4916,80
565,18935,97
566,14363,42
567,7490,30
568,27303,6
569,24228,17
570,28918,85
571,3770,80
572,10557,91
573,16458,12
574,22907,83
575,28187,8
576,14481,22
577,11795,79
578,6022,65
579,4138,40
580,16668,37
581,20591,42
582,19950,97
583,17402,13
584,19791,36
585,16843,1
586,12372,66
587,1628,88
588,16831,43
589,2392,32
590,14343,44
591,7486,76
592,18775,16
593,16006,33
594,10763,64
595,28781,59
596,15118,42
597,25654,11
598,21185,55
599,6201,37
600,5033,41
601,7551,69
602,14804,66
603,8597,10
604,20188,28
605,3202,24
606,20067,27
607,1178,25
608,12868,89
609,2441,81
610,12742,45
611,26986,36
612,29721,48
613,13812,68
614,93,14
615,22506,3
616,8200,7
617,15116,12
618,23679,18
619,12298,64
620,12418,8
621,4750,68
622,3482,8
623,5907,71
624,7806,56
625,19436,88
626,3353,21
627,25265,42
628,5165,44
629,24647,34
630,24583,86
631,3579,82
632,11024,85
633,15907,93
634,13125,98
635,5778,8
636,25290,88
637,29787,56
638,29214,88
639,11483,7
640,4452,19
641,20098,1
642,856,20
643,28331,67
644,3028,30
645,11758,98
646,7574,67
647,7031,61
648,2567,7
649,18231,24
650,28288,56
651,5847,73
652,15221,53
653,22757,8
654,19376,44
655,18523,88
656,27011,42
657,20399,42
658,24084,69
659,17122,93
660,16355,34
661,68,14
662,11177,62
663,24431,10
664,27938,6
665,18098,90
666,736,76
667,8773,33
668,27817,78
669,16051,73
670,15776,23
671,20349,39
672,22728,99
673,9543,26
674,27697,39
675,21804,91
676,20314,77
677,28639,42
678,13558,88
679,16602,51
680,16839,12
681,28946,49
682,23342,57
683,7765,92
684,21575,4
685,24145,54
686,25757,36
687,2265,30
688,26448,91
689,24097,86
690,24795,79
691,27006,81
692,3623,43
693,8201,57
694,15913,43
695,22196,8
696,721,77
697,7893,96
698,6789,89
699,19719,30
700,26291,56
701,28578,11
702,13793,19
703,445,38
704,19767,48
705,28238,30
706,13136,28
707,3678,31
708,13908,36
709,13029,61
710,26325,38
711,26796,20
712,12535,97
713,28703,19
714,19181,37
715,16778,85
716,18630,32
717,9243,100
718,5719,13
719,1774,32
720,19995,96
721,7761,79
722,2382,3
723,13916,86
724,26967,40
725,2075,70
726,2758,81
727,25776,91
728,17575,80
729,25680,79
730,12438,67
731,27480,70
732,26991,62
733,8990,67
734,9021,82
735,15669,27
736,6467,65
737,19798,53
738,3277,73
739,11355,62
740,14938,38
741,3631,61
742,799,4
743,4039,52
744,7739,91
745,3226,6
746,17368,57
747,27079,1
748,10499,47
749,11654,27
750,1382,5
751,23008,98
752,26724,70
753,27085,47
754,15434,17
755,2929,72
756,409,30
757,11953,73
758,15370,21
759,5228,22
760,27871,81
761,24041,75
762,13026,19
763,2365,18
764,28498,64
765,22617,34
766,14912,31
767,21490,28
768,15234,82
769,24922,78
770,25982,8
771,15457,23
772,18924,52
773,18821,25
774,12439,17
775,17175,0
776,29134,48
777,21347,72
778,8495,82
779,13882,87
780,12466,30
781,28999,80
782,395,5
783,29065,67
784,14857,91
785,1082,75
786,14757,9
787,25446,75
788,16299,51
789,623,92
790,7879,45
791,21526,27
792,24105,95
793,13947,3
794,10119,34
795,15256,82
796,18851,69
797,5666,51
798,14885,6
799,25207,90
800,9016,42
801,7086,76
802,4413,17
803,16375,17
804,11169,65
805,11158,33
806,24923,95
807,9254,85
808,5415,28
809,13292,28
810,5357,69
811,10431,33
812,15483,29
813,28494,78
814,1563,1
815,18175,62
816,4787,42
817,9896,82
818,7445,58
819,14186,62
820,8476,26
821,23030,9
822,18015,21
823,1217,19
824,26162,6
825,3796,39
826,23620,91
827,27189,56
828,11853,95
829,22691,91
830,11478,25
831,14105,98
832,26039,68
833,16916,48
834,14765,84
835,10158,22
836,16879,64
837,19929,79
838,18670,42
839,783,37
840,1651,81
841,17810,19
842,8140,39
843,28577,87
844,25478,10
845,18356,13
846,13031,31
847,27100,29
848,23731,15
849,13959,77
850,1500,69
851,26961,76
852,53,75
853,9128,6
854,7617,47
855,1522,18
856,25152,32
857,22460,6
858,18059,89
859,3372,46
860,4438,27
861,2654,96
862,28119,63
863,22881,22
864,28869,54
865,8001,45
866,5147,0
867,16996,98
868,1280,23
869,27944,98
870,26096,36
871,11092,13
872,10055,49
873,24874,37
874,13614,15
875,2427,9
876,19016,8
877,10432,17
878,9481,65
879,15727,83
880,1054,94
881,14555,78
882,4114,56
883,24031,75
884,17190,6
885,26899,93
886,21565,12
887,7780,8
888,19259,63
889,9484,65
890,1777,80
891,2294,92
892,28670,74
893,14752,89
894,26,24
895,27395,47
896,14871,88
897,15959,4
898,797,38
899,27383,36
900,14451,74
901,18001,23
902,8792,15
903,10303,14
904,4971,76
905,15851,24
906,15046,77
907,18571,83
908,20547,96
909,19109,65
910,2909,14
911,26662,43
912,20351,90
913,16446,68
914,21405,36
915,17295,22
916,11190,59
917,26774,66
918,28116,52
919,21207,42
920,21671,6
921,20345,50
922,14813,4
923,22311,31
924,18649,56
925,26885,46
926,5052,98
927,21251,94
928,16767,19
929,16059,23
930,17660,37
931,18071,17
932,3467,30
933,14895,23
934,20816,80
935,20610,27
936,26047,75
937,23664,25
938,8450,8
939,21846,73
940,15542,12
941,11306,8
942,1553,44
943,7708,74
944,24493,41
945,3334,92
946,13456,6
947,20790,83
948,5031,44
949,18399,26
950,14209,3
951,14811,94
952,3301,6
953,24558,17
954,12478,24
955,14821,88
956,29707,10
957,25948,72
958,19190,93
959,17090,5
960,15083,87
961,27655,58
962,7855,73
963,25488,11
964,25257,34
965,3985,87
966,27142,34
967,6547,97
968,20451,70
969,9711,81
970,6040,58
971,22857,19
972,28070,14
973,9275,21
974,4756,3
975,13103,67
976,7515,34
977,9490,94
978,15397,89
979,2504,99
980,20807,56
981,16211,58
982,766,87
983,7642,79
984,15631,29
985,14435,53
986,24210,83
987,14779,97
988,22903,8
989,22431,0
990,9311,32
991,24888,97
992,17513,96
993,12045,18
994,12122,9
995,27529,65
996,17303,84
997,17711,86
998,27406,28
999,27405,11
1000,9745,76
1001,6478,43
1002,1834,2
1003,20676,30
1004,16650,29
1005,16899,51
1006,6018,11
1007,5730,83
1008,1013,33
1009,25997,26
1010,9528,2
1011,27547,27
1012,4359,24
1013,18053,61
1014,28567,57
1015,23514,93
1016,19599,59
1017,10245,32
1018,13678,7
1019,768,51
1020,18685,53
1021,19559,75
1022,18511,14
1023,22133,69
1024,17267,17
1025,12847,2
1026,3258,65
1027,13905,73
1028,28667,66
1029,11675,73
1030,24052,54
1031,3397,40
1032,19550,42
1033,23454,33
1034,9530,91
1035,2627,10
1036,9002,71
1037,5284,36
1038,4294,66
1039,22683,5
1040,23725,36
1041,23594,38
1042,22590,10
1043,1458,49
1044,6945,63
1045,7211,82
1046,23120,4
1047,9263,27
1048,54,72
1049,23449,7
1050,22785,90
1051,7851,100
1052,1142,21
1053,4452,25
1054,5418,34
1055,7251,75
1056,2016,67
1057,11999,96
1058,25570,63
1059,8,41
1060,22041,18
1061,16395,19
1062,27304,29
1063,183,81
1064,15255,17
1065,14185,100
1066,18575,7
1067,11375,95
1068,9959,41
1069,28864,83
1070,12143,61
1071,5713,29
1072,24197,88
1073,13876,11
1074,21965,11
1075,23624,82
1076,29272,26
1077,16632,65
1078,9597,74
1079,15414,99
1080,21055,70
1081,28859,88
1082,2016,56
1083,5767,98
1084,1021,59
1085,3650,4
1086,14183,76
1087,24101,97
1088,9455,78
1089,27002,82
1090,15360,55
1091,7537,74
1092,20781,4
1093,8528,12
1094,22101,67
1095,55,74
1096,29611,64
1097,25413,18
1098,21329,34
1099,22713,84
1100,29718,39
1101,16453,96
1102,15394,91
1103,234,5
1104,10968,90
1105,19225,99
1106,12686,100
1107,291,61
1108,26621,10
1109,9218,76
1110,27330,51
1111,10503,97
1112,13197,44
1113,13086,80
1114,19557,6
1115,25762,31
1116,17702,12
1117,10359,76
1118,17855,90
1119,9466,66
1120,17513,73
1121,6637,43
1122,4105,67
1123,16752,80
1124,1177,97
1125,8263,84
1126,2909,30
1127,18772,34
1128,2666,88
1129,23770,15
1130,13602,94
1131,6257,78
1132,13055,30
1133,20976,16
1134,20215,84
1135,5416,48
1136,22006,14
1137,16246,13
1138,25401,92
1139,10978,55
1140,23884,20
1141,6574,73
1142,16924,21
1143,19798,87
1144,28171,63
1145,19863,73
1146,24639,69
1147,16357,41
1148,29519,1
1149,15419,92
1150,16921,64
1151,9873,6
1152,24750,76
1153,11432,50
1154,25814,27
1155,28226,0
1156,11164,32
1157,105,79
1158,14056,44
1159,22889,71
1160,1291,37
1161,22826,15
1162,3356,59
1163,20670,83
1164,11251,45
1165,6723,56
1166,4978,88
1167,6084,0
1168,1551,41
1169,6086,71
1170,1226,13
1171,2018,46
1172,4870,79
1173,29966,4
1174,24892,96
1175,21386,0
1176,26193,63
1177,13881,66
1178,8634,1
1179,4734,77
1180,28027,23
1181,6291,30
1182,29285,16
1183,20240,35
1184,8492,85
1185,11105,74
1186,22322,51
1187,2720,70
1188,18935,80
1189,29426,58
1190,7,43
1191,3058,95
1192,15359,36
1193,19560,42
1194,16920,81
1195,6136,46
1196,17074,22
1197,18787,37
1198,23993,26
1199,4089,32
1200,18545,77
1201,27244,62
1202,17894,0
1203,5456,47
1204,8036,86
1205,18458,67
1206,26141,20
1207,8553,47
1208,13468,78
1209,16924,36
1210,9124,67
1211,19321,95
1212,1093,32
1213,13561,48
1214,15202,29
1215,5718,28
1216,16107,38
1217,12541,3
1218,152,47
1219,24807,25
1220,12156,65
1221,28385,58
1222,15547,0
1223,23372,30
1224,4054,50
1225,18848,99
1226,7627,98
1227,12689,20
1228,25486,85
1229,16066,48
1230,12879,89
1231,26089,93
1232,7248,70
1233,3898,17
1234,25026,69
1235,18268,43
1236,15884,24
1237,15696,69
1238,3659,44
1239,16238,52
1240,17204,2
1241,29560,48
1242,17629,2
1243,19591,3
1244,7599,51
1245,26850,15
1246,559,41
1247,2163,30
1248,26936,44
1249,4832,9
1250,15369,48
1251,3965,5
1252,9807,12
1253,12994,23
1254,6477,59
1255,17464,57
1256,13575,27
1257,6708,100
1258,24145,90
1259,430,98
1260,3750,21
1261,1693,78
1262,26885,59
1263,2023,91
1264,10345,98
1265,17407,51
1266,17456,43
1267,9670,77
1268,19899,58
1269,22806,23
1270,18965,16
1271,2648,2
1272,29261,30
1273,20888,1
1274,16025,34
1275,7486,42
1276,3170,53
1277,13815,47
1278,18364,75
1279,787,41
1280,15753,5
1281,1559,53
1282,13980,10
1283,4154,50
1284,1608,91
1285,4107,44
1286,26988,28
1287,3329,83
1288,1950,54
1289,8850,48
1290,25640,24
1291,24420,1
1292,17098,100
1293,18536,54
1294,29294,61
1295,20805,22
1296,15569,48
1297,1385,80
1298,5033,28
1299,19942,81
1300,14912,57
1301,22878,37
1302,4084,30
1303,29963,62
1304,17900,55
1305,17748,79
1306,15583,18
1307,10712,5
1308,14913,15
1309,11336,10
1310,245,27
1311,4259,17
1312,12166,100
1313,6218,31
1314,12201,59
1315,5346,26
1316,15678,40
1317,12537,25
1318,15001,53
1319,17190,88
1320,29123,21
1321,6836,93
1322,8478,38
1323,11236,77
1324,10606,100
1325,22705,7
1326,8912,82
1327,7503,84
1328,11719,78
1329,9695,98
1330,6820,62
1331,23667,92
1332,5154,17
1333,10832,84
1334,12610,100
1335,2197,66
1336,20893,18
1337,579,52
1338,29668,43
1339,3308,81
1340,18414,13
1341,26045,41
1342,26149,36
1343,19884,2
1344,16002,26
1345,12139,77
1346,20883,15
1347,27955,23
1348,4868,13
1349,21779,50
1350,27100,7
1351,9845,6
1352,9916,86
1353,8086,14
1354,7514,80
1355,12223,69
1356,11998,56
1357,17056,14
1358,18628,28
1359,16856,32
1360,4466,28
1361,23082,5
1362,2364,22
1363,24271,55
1364,18812,54
1365,25897,13
1366,2962,79
1367,6250,34
1368,8040,10
1369,19570,36
1370,24814,7
1371,29317,23
1372,9833,57
1373,28306,35
1374,12304,35
1375,4517,50
1376,23649,39
1377,15815,39
1378,20806,68
1379,26559,94
1380,10476,52
1381,1315,36
1382,19511,17
1383,7773,16
1384,13819,31
1385,4214,18
1386,20270,2
1387,24496,77
1388,24821,50
1389,379,25
1390,6685,98
1391,29618,39
1392,22052,33
1393,6719,8
1394,15315,88
1395,6292,70
1396,5728,4
1397,7027,64
1398,16900,48
1399,10234,52
1400,4344,16
1401,2629,24
1402,26590,6
1403,15017,81
1404,29244,0
1405,7271,49
1406,16404,71
1407,10071,5
1408,28366,9
1409,25989,3
1410,14545,17
1411,15489,78
1412,11267,40
1413,7973,37
1414,14604,13
1415,12845,2
1416,2700,30
1417,1991,46
1418,18112,10
1419,5871,75
1420,29290,28
1421,24631,15
1422,6088,82
1423,21984,9
1424,26881,67
1425,13097,1
1426,14105,64
1427,25034,37
1428,6433,50
1429,18420,62
1430,21387,42
1431,27962,21
1432,21790,48
1433,1662,24
1434,21724,27
1435,400,41
1436,7901,19
1437,12358,63
1438,23941,40
1439,22940,49
1440,23579,22
1441,25319,12
1442,15127,9
1443,7844,31
1444,24316,90
1445,22944,68
1446,22443,67
1447,22726,39
1448,15764,20
1449,4818,73
1450,16674,93
1451,9319,86
1452,16950,75
1453,17518,52
1454,9948,61
1455,113,42
1456,21507,53
1457,19442,98
1458,6143,36
1459,6379,36
1460,2908,16
1461,12597,66
1462,18925,27
1463,20211,49
1464,3217,72
1465,10601,46
1466,5323,28
1467,4863,7
1468,11342,85
1469,26328,57
1470,24175,42
1471,18884,96
1472,14509,6
1473,22092,62
1474,15870,62
1475,1864,63
1476,14630,9
1477,23864,6
1478,21589,51
1479,3909,35
1480,19215,35
1481,3951,83
1482,29880,58
1483,10288,42
1484,19564,67
1485,29320,81
1486,1172,91
1487,19107,10
1488,20955,80
1489,8208,96
1490,9968,4
1491,16798,38
1492,27282,98
1493,14836,9
1494,1145,98
1495,5892,60
1496,13605,74
1497,10203,79
1498,946,15
1499,29629,35
1500,13127,100
1501,3624,52
1502,20793,1
1503,966,16
1504,18237,43
1505,25310,37
1506,29602,49
1507,16350,3
1508,20574,19
1509,4704,96
1510,27702,13
1511,28913,91
1512,19475,51
1513,28853,92
1514,636,62
1515,20794,72
1516,5477,52
1517,19656,61
1518,23862,59
1519,26391,3
1520,28847,22
1521,8119,43
1522,6191,77
1523,277,34
1524,4026,21
1525,19892,55
1526,29486,46
1527,18782,10
1528,15239,1
1529,5285,76
1530,18321,47
1531,2449,14
1532,2199,38
1533,706,24
1534,23983,0
1535,1763,26
1536,27192,45
1537,5300,64
1538,15276,78
1539,2637,9
1540,6955,18
1541,1385,64
1542,13297,25
1543,8841,43
1544,8421,74
1545,1405,2
1546,22019,21
1547,12539,27
1548,23821,12
1549,26753,4
1550,23502,83
1551,9728,72
1552,11264,98
1553,8749,66
1554,11441,30
1555,2079,43
1556,17546,94
1557,23250,89
1558,27497,92
1559,21557,59
1560,19669,6
1561,10872,67
1562,13685,60
1563,26206,73
1564,20463,38
1565,6121,99
1566,7281,71
1567,1092,23
1568,862,75
1569,27858,94
1570,17164,14
1571,7949,91
1572,29886,73
1573,719,91
1574,7854,38
1575,7812,99
1576,23984,62
1577,9363,85
1578,10657,7
1579,26491,52
1580,14839,79
1581,13946,95
1582,19624,99
1583,363,100
1584,25695,39
1585,11208,19
1586,9386,5
1587,1059,64
1588,17823,48
1589,6203,23
1590,27765,11
1591,4873,36
1592,12980,66
1593,11038,29
1594,25194,51
1595,17008,75
1596,27056,71
1597,7941,22
1598,19369,96
1599,27504,5
1600,3802,71
1601,10863,43
1602,9517,47
1603,5459,3
1604,6594,39
1605,22899,84
1606,6455,34
1607,14355,84
1608,12795,93
1609,18600,12
1610,9900,1
1611,13939,45
1612,14842,51
1613,20138,45
1614,8497,64
1615,20515,76
1616,22895,89
1617,14615,39
1618,28842,1
1619,23798,23
1620,19158,83
1621,23243,70
1622,24258,3
1623,27955,76
1624,22242,56
1625,16153,74
1626,13269,93
1627,12879,33
1628,9426,51
1629,2196,1
1630,6962,85
1631,12280,40
1632,28108,61
1633,14218,92
1634,13159,78
1635,3412,10
1636,3464,65
1637,25458,68
1638,21858,96
1639,12853,74
1640,26846,7
1641,26132,99
1642,15746,91
1643,12697,3
1644,12469,19
1645,28028,28
1646,648,16
1647,16398,93
1648,25692,81
1649,27132,49
1650,28104,57
1651,5699,59
1652,19632,83
1653,26147,70
1654,17325,1
1655,13850,57
1656,18585,11
1657,4469,38
1658,8487,42
1659,29844,97
1660,16276,44
1661,21723,52
1662,18719,1
1663,4172,29
1664,1935,6
1665,29024,88
1666,29609,50
1667,4022,34
1668,9424,10
1669,12192,42
1670,23846,49
1671,12538,99
1672,18896,5
1673,29654,89
1674,25554,12
1675,7137,72
1676,5053,17
1677,13181,62
1678,23832,69
1679,29370,45
1680,3479,3
1681,3756,74
1682,21786,14
1683,7243,14
1684,19096,30
1685,20337,26
1686,23364,3
1687,17564,84
1688,28007,51
1689,19009,11
1690,17337,14
1691,24710,94
1692,22030,2
1693,4346,6
1694,13754,37
1695,14424,95
1696,15918,99
1697,21640,86
1698,2514,77
1699,10612,47
1700,21653,13
1701,5207,12
1702,14889,57
1703,16675,9
1704,29114,87
1705,8891,7
1706,13273,7
1707,13076,28
1708,1583,52
1709,577,53
1710,22215,65
1711,2860,94
1712,4747,79
1713,27959,27
1714,26195,88
1715,1212,97
1716,23903,50
1717,13038,33
1718,6453,90
1719,5470,61
1720,7314,48
1721,6048,98
1722,8495,88
1723,3374,47
1724,5177,68
1725,18998,90
1726,6038,46
1727,28092,27
1728,2078,43
1729,9497,45
1730,22908,62
1731,16088,57
1732,10594,40
1733,26918,82
1734,11077,75
1735,21338,58
1736,9791,2
1737,15335,29
1738,12522,2
1739,23938,48
1740,27306,73
1741,21900,57
1742,896,88
1743,23458,59
1744,3718,18
1745,20825,5
1746,9017,95
1747,21344,78
1748,29906,33
1749,920,15
1750,27657,62
1751,29141,13
1752,19839,10
1753,11866,31
1754,7554,73
1755,16063,94
1756,1305,63
1757,643,34
1758,18510,74
1759,28348,25
1760,27180,29
1761,17885,74
1762,11443,4
1763,19482,55
1764,24261,14
1765,21346,79
1766,2285,100
1767,18240,82
1768,16894,56
1769,27233,30
1770,18471,96
1771,29924,55
1772,1078,4
1773,9037,66
1774,23417,77
1775,28747,48
1776,653,33
1777,25257,19
1778,757,57
1779,16964,16
1780,25730,61
1781,15559,6
1782,19946,92
1783,28852,28
1784,920,15
1785,29817,8
1786,14562,53
1787,26765,68
1788,1684,32
1789,10404,36
1790,25435,96
1791,24555,98
1792,11590,2
1793,4851,100
1794,20947,75
1795,6608,50
1796,18350,82
1797,2961,36
1798,24927,45
1799,26650,0
1800,10764,78
1801,7991,14
1802,16821,54
1803,25246,6
1804,21040,59
1805,23615,57
1806,24015,6
1807,21052,33
1808,16798,93
1809,22576,82
1810,5908,18
1811,16941,24
1812,23011,26
1813,24653,25
1814,26581,69
1815,13570,11
1816,20013,37
1817,5123,32
1818,7570,9
1819,20013,41
1820,8461,93
1821,3217,2
1822,23813,47
1823,24426,15
1824,8846,52
1825,6948,59
1826,26659,70
1827,11186,44
1828,1266,73
1829,22442,66
1830,29686,90
1831,5193,12
1832,19545,78
1833,19410,43
1834,5241,12
1835,2099,53
1836,5097,49
1837,4779,29
1838,15122,67
1839,29806,2
1840,23120,67
1841,12674,97
1842,2361,56
1843,14500,54
1844,8411,50
1845,11327,10
1846,19348,8
1847,7921,86
1848,29214,15
1849,24744,71
1850,14464,83
1851,6531,45
1852,4076,17
1853,25600,34
1854,4091,94
1855,26319,81
1856,2979,73
1857,881,6
1858,26878,98
1859,26702,80
1860,2646,53
1861,6566,53
1862,26352,30
1863,26566,68
1864,14699,30
1865,25765,24
1866,11286,48
1867,7541,15
1868,10243,32
1869,17492,10
1870,11398,88
1871,20332,24
1872,7263,88
1873,23796,79
1874,15588,47
1875,16646,61
1876,10492,97
1877,4477,81
1878,15402,7
1879,4937,27
